SMILES,pIC50
Oc1ccc(cc1)CC([NH3+])C,3.09691
Oc1ccc(cc1CC)CC[NH3+],3.1804562
Fc1ccc(cc1)CC1CC[NH2+]CC1,3.3010299
Clc1cc2CC(N=C(NC(Cc3ccccc3)c3ncccn3)c2cc1)(C)C,3.8629625
O1[C@@H]2COCC[C@@]2(N=C1N)c1cc(ccc1)-c1cncnc1,4.0030508
Fc1cc(cc(F)c1)CC(NC(=O)C)C(O)C[NH2+]C1(CC1)c1occ(n1)C(C)(C)C,4.3677454
[NH+]=1C(C=2N(CCCN=2)C=1N)(c1ccccc1)c1ccccc1,4.4202166
Brc1ccc(cc1)COC(=O)C1[NH2+]CC2(C1)c1c(NC2=O)cccc1,4.5301781
Fc1cc(NC[C@@H](O)[C@@H](NC(=O)C=2[C@H](CCC)C(C(=O)C)=C(N(CC(OC(C)C)=O)C=2C)C)Cc2ccccc2)ccc1,4.5670309
O(C(=O)C=1[C@@H](C)C(C(=O)N[C@H]([C@H](O)C[NH2+]C2CC2)Cc2ccccc2)=C(N(CCCOC(=O)C)C=1C)C)Cc1ccccc1,4.5702477
O=C1N(C)C(=NC(=C1)C1CC1c1ccc(cc1)-c1ccccc1)N,4.5917602
Brc1cc2c(SCC[C@@H]2OC(=O)[C@@H]2[NH2+]C[C@]3(C2)c2c(NC3=O)cccc2)cc1,4.6458917
O=C(N1CCC(CC1)c1ccccc1)C1C[NH2+]CC1c1ccccc1,4.7212462
Brc1ccccc1C1C[NH2+]CC1C(=O)N1CCC(CC1)c1ccccc1,4.7212462
O=C1N(C)C(N[C@](C1)(C)[C@@H]1C[C@H]1c1ccccc1)=N,4.7447276
O(C(=O)C=1[C@@H](C)C(=CN(CC(OC(C)C)=O)C=1C)C(=O)N[C@H]([C@H](O)C[NH2+]C1CC1)Cc1ccccc1)Cc1ccccc1,4.7931743
O(C(=O)CN1C(C)=C(C(=O)N[C@H]([C@H](O)C[NH2+]C2CC2)Cc2ccccc2)[C@@H](C)C(C(=O)NOCc2ccccc2)=C1C)CC,4.8096681
O(C(=O)CN1C(C)=C(C(=O)N[C@H]([C@H](O)C[NH2+]C2CC2)Cc2ccccc2)[C@H](C)C(C(=O)NOCc2ccccc2)=C1C)C,4.8181562
O(C)c1nc(cnc1)-c1ccc(cc1)C1CC1C=1N=C(N)N(C)C(=O)C=1,4.8996296
O=C1Nc2c(cccc2)[C@]12C[C@@H]([NH2+]C2)C(OCc1ccc(cc1)C#N)=O,4.91364
S(=O)(=O)(N(C)c1cc(cc(c1)C(=O)NC(C(O)CC(OC)COCc1cc(OC)ccc1)COc1cc(F)cc(F)c1)C(=O)NC(C)c1ccccc1)C,5
S(=O)(=O)(N(C)c1cc(cc(c1)C(=O)NC(C(O)CC(C(=O)NC1CC1)C)COCc1cc(F)cc(F)c1)C(=O)NC(C)c1ccccc1)C,5
[nH]1c2cc(ccc2cc1)-c1cc(ccc1)CNc1cccnc1N,5.0409584
O(C(C)C)C(=O)CN1C(C)=C(C(=O)N[C@H]([C@H](O)C[NH2+]C2CC2)Cc2ccccc2)[C@@H](C)C(C(=O)NOCc2ccccc2)=C1C,5.0457573
Clc1cc(cc(Cl)c1)CNC(=[NH2+])NC(=O)Cn1c2c(cccc2)cc1,5.057992
Clc1cc2nc(n(c2cc1)[C@H](CC(=O)NCC1CCCCC1)CC)N,5.154902
O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H]([C@@H](O)C[C@H](C(=O)NCC(C)C)C)CC(C)C)c1ccccc1,5.1592669
O=C1N(C)C(=NC(=C1)CCc1cc(ccc1)-c1ccccc1)N,5.1870866
Brc1cc(ccc1C#N)COC(=O)[C@@H]1[NH2+]C[C@]2(C1)c1c(NC2=O)cccc1,5.2034259
n1c2c(cc(cc2)-c2ccccc2C#CC(C)(C)C)ccc1N,5.2146702
[NH+]=1[C@@](C=2N(CCCN=2)C=1N)(c1cc(ccc1)Cc1ccccc1)c1ccccc1,5.2757239
O1c2ncccc2C([NH2+]CC(O)C(NC(=O)C)Cc2ccccc2)CC12CCC2,5.2773662
n1c(cccc1N)Cn1c(ccc1-c1ccccc1)-c1ccccc1,5.2839966
O=C(N(C)C1CCCCC1)CCc1cc2cc(ccc2nc1N)-c1ccccc1C,5.2839966
FC(F)(F)Oc1ccc(cc1)-c1cc2c(Oc3c(cc(OC)cc3)C23N=C(OC3)N)cc1,5.2958493
O=C1N(Cc2ccc(cc2)CNC(=O)NCCCC)C(NC1(CC1CCCCC1)C)=N,5.3010302
Brc1cc(ccc1O)CC1CS(=O)(=O)CC([NH2+]Cc2cc(Cl)cc(Cl)c2)C1O,5.3767509
O(Cc1ncccc1)c1ccc(cc1CNc1cccnc1N)-c1cc2[nH]ccc2cc1,5.3767509
S(CCC(NC(=O)C(NC(=O)C)C)C(=O)NC(C(O)CC(C(=O)NCCCC)C)CC(C)C)C,5.3979402
O=C(N1CCC(CC1)c1ccccc1)C1C[NH2+]CC12CCCc1c2cccc1,5.3979402
Brc1cc2c(S(=O)(=O)CC[C@@H]2OC(=O)[C@@H]2[NH2+]C[C@]3(C2)c2c(NC3=O)cccc2)cc1,5.3979402
O=C(NC(=[NH2+])N)Cn1c(ccc1-c1ccccc1)-c1ccccc1,5.4317985
O=C1N(C)C(=[NH2+])NC1(c1ccccc1)c1ccccc1,5.4436975
S(=O)(=O)(N(C)c1cc(cc(c1)C(=O)NC(C(O)CC(C(=O)NC(C(C)C)C(=O)NCc1ccc(F)cc1)C)COCc1cc(F)cc(F)c1)C(=O)NC(C)c1ccccc1)C,5.4436975
O(C)c1cc(ccc1)C1(N=C(N)N(C)C1=O)c1ccccc1,5.4596705
O=C(NC1CCC1)c1ccc(cc1)-c1n(Cc2nc(N)ccc2)c(cc1)-c1ccccc1,5.4685211
O=C1N(C)C(=NC1(c1ccccc1)c1ccccc1)N,5.4685211
Clc1cc2CC(N=C(NC(Cc3ccccc3)C=3NC(=O)NN=3)c2cc1)(C)C,5.4723701
O1CC(N=C(N)C1)(C)c1cc(ccc1)-c1cc(OC)ccc1,5.4948502
O(C)c1ccc(cc1)[C@@]1([NH+]=C(N)[C@H](OC)C1)c1cc(ccc1)-c1cccnc1,5.4948502
S(=O)(=O)(n1cc(c2c1cccc2)C(=O)NC(Cc1ccccc1)C(O)C[NH2+]Cc1cc(OC)ccc1)CCCC,5.5086384
O=C(NCCCC)c1ccc(cc1)-c1n(Cc2nc(N)ccc2)c(cc1)-c1ccccc1,5.5228786
O=C(NCCC)c1ccc(cc1)-c1n(Cc2nc(N)ccc2)c(cc1)-c1ccccc1,5.5228786
Clc1cc2CC(N=C(NC(Cc3ccsc3)C(=O)[O-])c2cc1)(C)C,5.5376019
Fc1ncccc1-c1cc(ccc1)[C@]1(N=C(OC1)N)c1ccc(OC)cc1,5.545155
Clc1cc2CC(N=C(NC(Cc3ccccc3)C(=O)[O-])c2cc1)(C)C,5.5466819
Brc1cc(ccc1OC)CC1CS(=O)(=O)CC([NH2+]Cc2cc(ccc2)C(C)C)C1O,5.5528421
FC(F)(F)Oc1cc(ccc1)-c1cc2c(Oc3c(cc(OC)cc3)C23N=C(OC3)N)cc1,5.5590911
